iter	Passed	Remaining
552	25351	20492
553	25396	20445
554	25445	20402
555	25492	20357
556	25539	20312
557	25585	20266
558	25633	20222
559	25688	20183
560	25765	20161
561	25824	20126
562	25871	20081
563	25918	20036
564	25965	19990
565	26013	19946
566	26056	19898
567	26104	19853
568	26149	19807
569	26194	19760
570	26239	19714
571	26284	19667
572	26328	19620
573	26375	19574
574	26423	19530
575	26471	19486
576	26524	19444
577	26582	19407
578	26633	19365
579	26685	19323
580	26730	19277
581	26782	19235
582	26833	19193
583	26886	19151
584	26936	19108
585	26985	19064
586	27039	19024
587	27097	18986
588	27154	18948
589	27204	18904
590	27258	18864
591	27309	18821
592	27357	18776
593	27408	18733
594	27461	18692
595	27512	18649
596	27561	18605
597	27611	18561
598	27662	18518
599	27711	18474
600	27758	18428
601	27805	18383
602	27851	18336
603	27897	18290
604	27943	18243
605	27992	18199
606	28040	18154
607	28085	18107
608	28145	18070
609	28198	18028
610	28252	17987
611	28304	17944
612	28357	17902
613	28410	17860
614	28462	17817
615	28508	17771
616	28567	17733
617	28619	17690
618	28676	17650
619	28730	17608
620	28781	17565
621	28837	17525
622	28891	17483
623	28945	17441
624	28997	17398
625	29047	17354
626	29093	17307
627	29139	17261
628	29185	17214
629	29232	17168
630	29280	17123
631	29329	17077
632	29381	17034
633	29428	16988
634	29473	16941
635	29525	16898
636	29575	16853
637	29625	16809
638	29674	16764
639	29728	16722
640	29778	16677
641	29829	16633
642	29877	16588
643	29930	16545
644	29981	16501
645	30031	16456
646	30077	16410
647	30126	16364
648	30178	16321
649	30231	16278
650	30282	16234
651	30332	16189
652	30380	16143
653	30425	16096
654	30471	16049
655	30520	16004
656	30569	15959
657	30622	15916
658	30672	15871
659	30721	15826
660	30772	15781
661	30823	15737
662	30873	15692
663	30922	15647
664	30972	15602
665	31023	15558
666	31070	15511
667	31120	15467
668	31172	15423
669	31235	15384
670	31295	15344
671	31349	15301
672	31399	15256
673	31447	15210
674	31493	15163
675	31544	15118
676	31592	15073
677	31648	15030
678	31699	14985
679	31750	14941
680	31802	14897
681	31852	14851
682	31904	14807
683	31953	14762
684	32004	14717
685	32056	14673
686	32102	14626
687	32148	14579
688	32195	14532
689	32244	14486
690	32294	14441
691	32342	14395
692	32390	14349
693	32436	14301
694	32482	14254
695	32528	14207
696	32574	14160
697	32620	14113
698	32670	14068
699	32716	14021
700	32763	13974
701	32809	13927
702	32855	13880
703	32900	13833
704	32950	13787
705	33001	13742
706	33051	13697
707	33104	13653
708	33150	13606
709	33196	13559
710	33242	13511
711	33287	13464
712	33331	13416
713	33375	13369
714	33423	13322
715	33475	13277
716	33522	13231
717	33574	13186
718	33623	13140
719	33672	13095
720	33718	13047
721	33766	13001
722	33813	12954
723	33861	12908
724	33913	12863
725	33960	12816
726	34009	12771
727	34059	12725
728	34107	12679
729	34152	12631
730	34200	12585
731	34245	12538
732	34293	12491
733	34339	12444
734	34380	12395
735	34434	12351
736	34485	12306
737	34537	12261
738	34591	12217
739	34644	12172
740	34700	12128
741	34750	12083
742	34798	12036
743	34848	11990
744	34902	11946
745	34953	11900
746	35007	11856
747	35063	11812
748	35109	11765
749	35155	11718
750	35203	11671
751	35249	11624
752	35298	11578
753	35344	11531
754	35393	11485
755	35440	11438
756	35486	11391
757	35539	11346
758	35584	11299
759	35639	11254
760	35690	11209
761	35739	11162
762	35789	11116
763	35835	11069
764	35881	11022
765	35927	10975
766	35974	10928
767	36022	10881
768	36067	10834
769	36114	10787
770	36162	10741
771	36208	10693
772	36253	10646
773	36300	10599
774	36346	10552
775	36391	10504
776	36442	10459
777	36488	10412
778	36534	10364
779	36579	10317
780	36624	10269
781	36672	10223
782	36717	10175
783	36766	10129
784	36813	10082
785	36861	10036
786	36911	9989
787	36960	9943
788	37008	9897
789	37058	9850
790	37104	9803
791	37150	9756
792	37198	9710
793	37249	9664
794	37299	9617
795	37346	9571
796	37393	9524
797	37447	9479
798	37494	9432
799	37542	9385
800	37590	9339
801	37640	9292
802	37687	9245
803	37738	9199
804	37784	9152
805	37827	9104
806	37873	9057
807	37920	9010
808	37964	8963
809	38011	8916
810	38057	8869
811	38103	8821
812	38150	8775
813	38197	8728
814	38241	8680
815	38286	8633
816	38331	8585
817	38379	8539
818	38427	8492
819	38474	8445
820	38520	8398
821	38564	8351
822	38611	8303
823	38658	8257
824	38703	8209
825	38749	8162
826	38794	8115
827	38842	8068
828	38887	8021
829	38929	7973
830	38974	7926
831	39025	7880
832	39074	7833
833	39121	7786
834	39166	7739
835	39211	7692
836	39260	7645
837	39306	7598
838	39352	7551
839	39393	7503
840	39439	7456
841	39484	7409
842	39529	7361
843	39581	7316
844	39637	7270
845	39684	7223
846	39729	7176
847	39774	7129
848	39820	7082
849	39873	7036
850	39919	6989
851	39965	6942
852	40016	6896
853	40061	6848
854	40107	6801
855	40151	6754
856	40195	6707
857	40240	6659
858	40287	6612
859	40330	6565
860	40376	6518
861	40426	6471
862	40472	6424
863	40518	6377
864	40563	6330
865	40610	6283
866	40657	6236
867	40702	6189
868	40746	6142
869	40792	6095
870	40839	6048
871	40886	6001
872	40932	5954
873	40981	5908
874	41028	5861
875	41074	5814
876	41120	5767
877	41169	5720
878	41214	5673
879	41260	5626
880	41312	5580
881	41357	5533
882	41402	5485
883	41450	5439
884	41495	5392
885	41540	5344
886	41586	5297
887	41634	5251
888	41681	5204
889	41728	5157
890	41775	5110
891	41821	5063
892	41869	5016
893	41919	4970
894	41972	4924
895	42023	4877
896	42072	4831
897	42118	4784
898	42164	4737
899	42211	4690
900	42259	4643
901	42306	4596
902	42355	4549
903	42404	4503
904	42450	4456
905	42495	4408
906	42541	4361
907	42590	4315
908	42638	4268
909	42684	4221
910	42729	4174
911	42778	4127
912	42831	4081
913	42879	4034
914	42927	3987
915	42982	3941
916	43030	3894
917	43075	3847
918	43120	3800
919	43165	3753
920	43209	3706
921	43254	3659
922	43301	3612
923	43342	3564
924	43388	3517
925	43433	3470
926	43477	3423
927	43523	3376
928	43568	3329
929	43613	3282
930	43659	3235
931	43708	3189
932	43753	3141
933	43799	3095
934	43847	3048
935	43899	3001
936	43949	2954
937	43998	2908
938	44044	2861
939	44088	2814
940	44137	2767
941	44186	2720
942	44232	2673
943	44277	2626
944	44322	2579
945	44366	2532
946	44411	2485
947	44455	2438
948	44500	2391
949	44544	2344
950	44590	2297
951	44637	2250
952	44683	2203
953	44728	2156
954	44773	2109
955	44823	2063
956	44874	2016
957	44921	1969
958	44972	1922
959	45019	1875
960	45064	1828
961	45113	1782
962	45159	1735
963	45200	1688
964	45245	1641
965	45290	1594
966	45336	1547
967	45380	1500
968	45425	1453
969	45465	1406
970	45509	1359
971	45554	1312
972	45601	1265
973	45653	1218
974	45699	1171
975	45748	1124
976	45794	1078
977	45842	1031
978	45886	984
979	45927	937
980	45975	890
981	46023	843
982	46069	796
983	46115	749
984	46162	702
985	46207	656
986	46253	609
987	46298	562
988	46345	515
989	46393	468
990	46446	421
991	46499	374
992	46553	328
993	46607	281
994	46661	234
995	46715	187
996	46770	140
997	46828	93
998	46884	46
999	46937	0
