iter	Logloss
0	0.6686322293
1	0.648071042
2	0.6264771373
3	0.6053328418
4	0.589301229
5	0.573775442
6	0.5559065969
7	0.5381642701
8	0.5232128807
9	0.5100526385
10	0.4963116356
11	0.4786088766
12	0.4609834308
13	0.4480545723
14	0.4336359433
15	0.4203384955
16	0.4071516276
17	0.3951591152
18	0.3840130022
19	0.3730456395
20	0.3624025414
21	0.3528345085
22	0.343654926
23	0.3348582959
24	0.3263395055
25	0.3185760251
26	0.3107967299
27	0.302005845
28	0.2939222699
29	0.2867232103
30	0.2805030915
31	0.2741394352
32	0.2672864783
33	0.261547135
34	0.2566581448
35	0.2509893966
36	0.2461319587
37	0.2403327231
38	0.2353699873
39	0.2305469745
40	0.2252668157
41	0.2200595068
42	0.2160719744
43	0.2127329097
44	0.2099098638
45	0.2068735038
46	0.2040984737
47	0.200367082
48	0.1959125658
49	0.1926425826
50	0.1894926311
51	0.1864759623
52	0.1841826188
53	0.180702611
54	0.1776128298
55	0.1757373578
56	0.1733761683
57	0.1706520111
58	0.1678282857
59	0.1660201656
60	0.1639035182
61	0.1621712287
62	0.1604875572
63	0.1579208374
64	0.1563668502
65	0.1547364764
66	0.1533661815
67	0.151297272
68	0.1497723969
69	0.1482913369
70	0.1467678981
71	0.1456923234
72	0.1444331026
73	0.1427756553
74	0.1413973295
75	0.1397886392
76	0.1388274899
77	0.1373950634
78	0.1360664677
79	0.1348813632
80	0.1335666363
81	0.1319121542
82	0.1306063386
83	0.1294181453
84	0.1282712033
85	0.1271542383
86	0.1263950981
87	0.1255023817
88	0.1244872862
89	0.1231154778
90	0.1223520441
91	0.1209412007
92	0.1199803372
93	0.118974871
94	0.1179647562
95	0.1169408265
96	0.1162660884
97	0.1152656262
98	0.1144338909
99	0.1136224492
100	0.1129122128
101	0.1122459381
102	0.1115231302
103	0.1107521675
104	0.1100790201
105	0.1093480963
106	0.1085125541
107	0.1078887353
108	0.1075713818
109	0.1068874931
110	0.1063141533
111	0.1058974324
112	0.1053585408
113	0.1047993479
114	0.1041575135
115	0.1037046765
116	0.1030218997
117	0.1023341885
118	0.1018924481
119	0.1015357508
120	0.1010632766
121	0.1006844555
122	0.09996176345
123	0.09959423976
124	0.09909977314
125	0.09873224173
126	0.09831985288
127	0.09776001131
128	0.09729271089
129	0.09699803711
130	0.09657696867
131	0.0962269895
132	0.09602828547
133	0.09556006613
134	0.09499607781
135	0.09472943511
136	0.09434157151
137	0.09397617139
138	0.0935858908
139	0.09334168067
140	0.09308676778
141	0.09279756121
142	0.0927416535
143	0.09237553523
144	0.09203530902
145	0.09171161574
146	0.09120122624
147	0.09083867556
148	0.09076461329
149	0.09033967609
150	0.08994239158
151	0.0898580667
152	0.08937761562
153	0.08906348225
154	0.08897802994
155	0.08887558138
156	0.08881765049
157	0.0887361596
158	0.08868340249
159	0.08863497746
160	0.08857342492
161	0.08827667391
162	0.08821963106
163	0.08814093555
164	0.08797547499
165	0.08793982996
166	0.08759907093
167	0.08752913224
168	0.08722652018
169	0.0871506664
170	0.0868854986
171	0.08684095004
172	0.08662005282
173	0.08652375102
174	0.08645259224
175	0.08637575775
176	0.08630585767
177	0.08625470675
178	0.08617873713
179	0.08612906112
180	0.08607485999
181	0.08603811071
182	0.08559218495
183	0.08553413051
184	0.08545692537
185	0.08523386596
186	0.08516864545
187	0.08512264514
